centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;5842;19;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;5863
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4482;1195;462;105;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6260
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4115;1074;350;78;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;5617
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3552;923;243;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4718
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;280;33;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;313
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;6240;414;40;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6696
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;20°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;16;27;27;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;75
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;6607;548;57;4;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;7217
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;     ;6348;460;106;17;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6936
Gran Buenos Aires;ALMIRANTE BROWN;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6256;414;140;31;2;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6844
